9 WRITE monitordata 000000FF
79 WRITE monitorx 000000B6
83 WRITE monitory 0000008F
87 WRITE monitorcmd 00000001
93 WRITE monitorx 000000A8
97 WRITE monitorcmd 00000001
103 WRITE monitory 0000008F
107 WRITE monitorcmd 00000001
111 WRITE monitorx 000000B6
115 WRITE monitorcmd 00000001
125 WRITE monitorx 000000B6
129 WRITE monitory 00000090
133 WRITE monitorcmd 00000001
139 WRITE monitorx 000000A8
143 WRITE monitorcmd 00000001
149 WRITE monitory 0000008E
153 WRITE monitorcmd 00000001
157 WRITE monitorx 000000B6
161 WRITE monitorcmd 00000001
171 WRITE monitorx 000000B6
175 WRITE monitory 00000091
179 WRITE monitorcmd 00000001
185 WRITE monitorx 000000A8
189 WRITE monitorcmd 00000001
195 WRITE monitory 0000008D
199 WRITE monitorcmd 00000001
203 WRITE monitorx 000000B6
207 WRITE monitorcmd 00000001
256 WRITE monitorx 000000B5
260 WRITE monitory 0000008F
264 WRITE monitorcmd 00000001
270 WRITE monitorx 000000A9
274 WRITE monitorcmd 00000001
280 WRITE monitory 0000008F
284 WRITE monitorcmd 00000001
288 WRITE monitorx 000000B5
292 WRITE monitorcmd 00000001
302 WRITE monitorx 000000B5
306 WRITE monitory 00000090
310 WRITE monitorcmd 00000001
316 WRITE monitorx 000000A9
320 WRITE monitorcmd 00000001
326 WRITE monitory 0000008E
330 WRITE monitorcmd 00000001
334 WRITE monitorx 000000B5
338 WRITE monitorcmd 00000001
348 WRITE monitorx 000000B5
352 WRITE monitory 00000091
356 WRITE monitorcmd 00000001
362 WRITE monitorx 000000A9
366 WRITE monitorcmd 00000001
372 WRITE monitory 0000008D
376 WRITE monitorcmd 00000001
380 WRITE monitorx 000000B5
384 WRITE monitorcmd 00000001
394 WRITE monitorx 000000B5
398 WRITE monitory 00000092
402 WRITE monitorcmd 00000001
408 WRITE monitorx 000000A9
412 WRITE monitorcmd 00000001
418 WRITE monitory 0000008C
422 WRITE monitorcmd 00000001
426 WRITE monitorx 000000B5
430 WRITE monitorcmd 00000001
440 WRITE monitorx 000000B5
444 WRITE monitory 00000093
448 WRITE monitorcmd 00000001
454 WRITE monitorx 000000A9
458 WRITE monitorcmd 00000001
464 WRITE monitory 0000008B
468 WRITE monitorcmd 00000001
472 WRITE monitorx 000000B5
476 WRITE monitorcmd 00000001
518 WRITE monitorx 000000B4
522 WRITE monitory 0000008F
526 WRITE monitorcmd 00000001
532 WRITE monitorx 000000AA
536 WRITE monitorcmd 00000001
542 WRITE monitory 0000008F
546 WRITE monitorcmd 00000001
550 WRITE monitorx 000000B4
554 WRITE monitorcmd 00000001
564 WRITE monitorx 000000B4
568 WRITE monitory 00000090
572 WRITE monitorcmd 00000001
578 WRITE monitorx 000000AA
582 WRITE monitorcmd 00000001
588 WRITE monitory 0000008E
592 WRITE monitorcmd 00000001
596 WRITE monitorx 000000B4
600 WRITE monitorcmd 00000001
610 WRITE monitorx 000000B4
614 WRITE monitory 00000091
618 WRITE monitorcmd 00000001
624 WRITE monitorx 000000AA
628 WRITE monitorcmd 00000001
634 WRITE monitory 0000008D
638 WRITE monitorcmd 00000001
642 WRITE monitorx 000000B4
646 WRITE monitorcmd 00000001
656 WRITE monitorx 000000B4
660 WRITE monitory 00000092
664 WRITE monitorcmd 00000001
670 WRITE monitorx 000000AA
674 WRITE monitorcmd 00000001
680 WRITE monitory 0000008C
684 WRITE monitorcmd 00000001
688 WRITE monitorx 000000B4
692 WRITE monitorcmd 00000001
702 WRITE monitorx 000000B4
706 WRITE monitory 00000093
710 WRITE monitorcmd 00000001
716 WRITE monitorx 000000AA
720 WRITE monitorcmd 00000001
726 WRITE monitory 0000008B
730 WRITE monitorcmd 00000001
734 WRITE monitorx 000000B4
738 WRITE monitorcmd 00000001
748 WRITE monitorx 000000B4
752 WRITE monitory 00000094
756 WRITE monitorcmd 00000001
762 WRITE monitorx 000000AA
766 WRITE monitorcmd 00000001
772 WRITE monitory 0000008A
776 WRITE monitorcmd 00000001
780 WRITE monitorx 000000B4
784 WRITE monitorcmd 00000001
819 WRITE monitorx 000000B3
823 WRITE monitory 0000008F
827 WRITE monitorcmd 00000001
833 WRITE monitorx 000000AB
837 WRITE monitorcmd 00000001
843 WRITE monitory 0000008F
847 WRITE monitorcmd 00000001
851 WRITE monitorx 000000B3
855 WRITE monitorcmd 00000001
865 WRITE monitorx 000000B3
869 WRITE monitory 00000090
873 WRITE monitorcmd 00000001
879 WRITE monitorx 000000AB
883 WRITE monitorcmd 00000001
889 WRITE monitory 0000008E
893 WRITE monitorcmd 00000001
897 WRITE monitorx 000000B3
901 WRITE monitorcmd 00000001
911 WRITE monitorx 000000B3
915 WRITE monitory 00000091
919 WRITE monitorcmd 00000001
925 WRITE monitorx 000000AB
929 WRITE monitorcmd 00000001
935 WRITE monitory 0000008D
939 WRITE monitorcmd 00000001
943 WRITE monitorx 000000B3
